spp_com,dbh,date_plant,neighborhood,POINT_X,POINT_Y
"Linden, Littleleaf",10,--,Back Bay/Beacon Hill,-71.06514,42.35786
"Linden, Littleleaf",19,--,South Boston,-71.02883,42.33483
Honeylocust,9,--,Back Bay/Beacon Hill,-71.07798,42.35114
"Linden, Littleleaf",10,--,Back Bay/Beacon Hill,-71.06932,42.3577
"Elm, Chinese",2,Spring 2024,South Boston,-71.04902,42.35058
Honeylocust,9,--,Back Bay/Beacon Hill,-71.07771,42.35107
"Zelkova, Japanese",6,--,Back Bay/Beacon Hill,-71.06707,42.35769
"Zelkova, Japanese",5,--,South Boston,-71.05269,42.33118
Honeylocust,11,--,Back Bay/Beacon Hill,-71.07808,42.35134
Honeylocust,8,--,Central Boston,-71.05304,42.3595
Honeylocust,14,--,Back Bay/Beacon Hill,-71.07802,42.35103
Ginkgo,2,--,Back Bay/Beacon Hill,-71.06629,42.35786
"Zelkova, Japanese",3,--,South Boston,-71.05199,42.33163
Honeylocust,4,--,Back Bay/Beacon Hill,-71.07797,42.35094
Honeylocust,12,--,Dorchester,-71.06797,42.30539
"Maple, Norway",7,--,Central Boston,-71.05497,42.35508
"Maple, Red",8,--,South End,-71.07783,42.3394
Honeylocust,16,--,Back Bay/Beacon Hill,-71.07807,42.35112
"Maple, Red",9,--,Back Bay/Beacon Hill,-71.06528,42.35839
"Maple, Red",19,--,South Boston,-71.0288,42.33495
Honeylocust,10,--,Back Bay/Beacon Hill,-71.07792,42.35145
"Pear, Callery",12,--,Back Bay/Beacon Hill,-71.06808,42.35736
"Elm, American",34,--,South Boston,-71.02949,42.33565
Honeylocust,2,--,Central Boston,-71.06453,42.35216
"Pear, Callery",10,--,Back Bay/Beacon Hill,-71.07031,42.35636
Honeylocust,11,--,Dorchester,-71.06722,42.30598
Honeylocust,9,--,Back Bay/Beacon Hill,-71.07817,42.35153
Scheduled Planting Site - Fall 2025,0,--,Back Bay/Beacon Hill,-71.06455,42.35845
Empty Pit/Planting Site,0,--,Roxbury,-71.08209,42.32143
Ginkgo,14,--,Central Boston,-71.06181,42.34831
"Pear, Callery",13,--,Jamaica Plain,-71.11139,42.32106
"Zelkova, Japanese",2,--,Allston-Brighton,-71.14961,42.35519
"Linden, Littleleaf",19,--,Back Bay/Beacon Hill,-71.07974,42.35356
"Pear, Callery",6,--,Back Bay/Beacon Hill,-71.07082,42.35633
"Elm, Accolade",4,--,West Roxbury,-71.16966,42.28867
Ginkgo,2,--,Central Boston,-71.0582,42.35089
"Linden, Littleleaf",10,--,Back Bay/Beacon Hill,-71.06857,42.35725
Honeylocust,17,--,South Boston,-71.03114,42.33564
"Zelkova, Japanese",1,--,Central Boston,-71.05637,42.3519
"Linden, Littleleaf",16,--,Back Bay/Beacon Hill,-71.06612,42.35838
Honeylocust,8,--,Central Boston,-71.05751,42.35216
"Linden, Littleleaf",35,--,South End,-71.0772,42.33885
Ginkgo,2,--,Central Boston,-71.05779,42.35069
"Ash, Green",8,--,Dorchester,-71.06735,42.30588
"Hackberry, Northern",2,Spring 2024,Back Bay/Beacon Hill,-71.06888,42.35718
"Linden, Littleleaf",4,--,Central Boston,-71.05366,42.3517
"Maple, Norway",14,--,Allston-Brighton,-71.12974,42.35965
"Oak, English",2,Fall 2022,Back Bay/Beacon Hill,-71.06925,42.35709
"Linden, Littleleaf",12,--,Central Boston,-71.06175,42.35029
"Zelkova, Japanese",5,--,South Boston,-71.0526,42.33107
Scheduled Planting Site - Fall 2025,0,--,Back Bay/Beacon Hill,-71.07049,42.35718
Goldenrain Tree,6,--,Back Bay/Beacon Hill,-71.0715,42.35319
"Maple, Norway 'Crimson King'",14,--,South Boston,-71.03603,42.32972
"Maple, Red",3,--,Back Bay/Beacon Hill,-71.07066,42.35934
"Elm, prospector",3,--,Back Bay/Beacon Hill,-71.07709,42.35412
"Elm, American",43,--,South Boston,-71.03555,42.32958
Honeylocust,8,--,Central Boston,-71.05332,42.35944
"Maple, Red",3,--,Charlestown,-71.06867,42.37974
"Oak, Pin",2,Spring 2024,South Boston,-71.03542,42.32958
"Linden, Littleleaf",10,--,Back Bay/Beacon Hill,-71.06751,42.35749
"Sweetgum, Common",3,--,East Boston,-71.02544,42.38074
"Zelkova, Japanese",5,--,Central Boston,-71.06323,42.35058
"Linden, Littleleaf",2,--,Back Bay/Beacon Hill,-71.0678,42.3572
"Redwood, Dawn",3,--,South Boston,-71.0377,42.3315
Honeylocust,17,--,Back Bay/Beacon Hill,-71.07677,42.3542
"Sweetgum, Common",4,--,Back Bay/Beacon Hill,-71.06832,42.35652
"Maple, Red",6,--,South Boston,-71.05064,42.35027
"Honeylocust, Thornless",2,Fall 2024,Central Boston,-71.06386,42.34879
Honeylocust,14,--,Back Bay/Beacon Hill,-71.06612,42.35773
"Linden, Littleleaf",14,--,Central Boston,-71.06172,42.35035
"Pear, Callery",4,--,South Boston,-71.04866,42.35036
"Oak, Pin",5,--,Dorchester,-71.09081,42.28678
"Ash, Green",20,--,South Boston,-71.03127,42.33212
"Pear, Callery",6,--,Central Boston,-71.06403,42.35339
"Maple, Red",2,Spring 2025,Back Bay/Beacon Hill,-71.07056,42.35731
"Sweetgum, Common",3,--,South Boston,-71.0517,42.34714
"Maple, Norway",17,--,Back Bay/Beacon Hill,-71.07816,42.35296
Apple/Crabapple,3,--,Back Bay/Beacon Hill,-71.06784,42.35662
"Elm, Hybrid",2,Spring 2025,South Boston,-71.04814,42.3494
Honeylocust,12,--,Back Bay/Beacon Hill,-71.07843,42.35288
"Elm, Accolade",2,--,Back Bay/Beacon Hill,-71.0674,42.35671
"Maple, Red",5,--,South Boston,-71.05082,42.35036
"Basswood, American",26,--,Back Bay/Beacon Hill,-71.07687,42.35331
"Maple, Red 'Red Sunset'",2,Fall 2024,Back Bay/Beacon Hill,-71.0677,42.35746
"Pear, Callery",4,--,South Boston,-71.04873,42.35041
Honeylocust,8,--,Central Boston,-71.06379,42.35412
"Pear, Callery",15,--,Back Bay/Beacon Hill,-71.06928,42.35757
"Maple, Red",15,--,Allston-Brighton,-71.14556,42.35519
"Linden, Littleleaf",10,--,Central Boston,-71.05579,42.35228
"Ash, Green",11,--,Back Bay/Beacon Hill,-71.06539,42.35716
Empty Pit/Planting Site,0,--,Roxbury,-71.08593,42.32918
Scheduled Planting Site - Fall 2025,0,--,Back Bay/Beacon Hill,-71.0779,42.35303
"Zelkova, Japanese",6,--,Allston-Brighton,-71.15604,42.34021
Apple/Crabapple,3,--,Allston-Brighton,-71.14912,42.35598
Ginkgo,13,--,Central Boston,-71.06118,42.34983
"Linden, Littleleaf",15,--,Back Bay/Beacon Hill,-71.08017,42.35329
Apple/Crabapple,14,--,Back Bay/Beacon Hill,-71.06923,42.35749
Ginkgo,13,--,Central Boston,-71.06165,42.34865
"Maple, Norway",2,--,Back Bay/Beacon Hill,-71.06931,42.35741
Ginkgo,14,--,Central Boston,-71.06152,42.34867
"Oak, Swamp White",2,Fall 2022,Back Bay/Beacon Hill,-71.0696,42.35703
"Maple, Red",12,--,Back Bay/Beacon Hill,-71.06974,42.356
"Pear, Callery",15,--,Back Bay/Beacon Hill,-71.06938,42.35755
"Maple, Norway",13,--,Back Bay/Beacon Hill,-71.07957,42.35345
"Hophornbeam, Eastern",2,Spring 2024,Back Bay/Beacon Hill,-71.06621,42.35777
Ginkgo,19,--,Central Boston,-71.06141,42.34815
Goldenrain Tree,2,--,Back Bay/Beacon Hill,-71.06636,42.35774
"Hornbeam, European",4,--,Central Boston,-71.06142,42.34925
"Maple, Hedge",2,--,Back Bay/Beacon Hill,-71.06592,42.35746
"Ash, Green",17,--,Central Boston,-71.06095,42.34872
"Linden, Littleleaf",9,--,Jamaica Plain,-71.11663,42.29514
"Hornbeam, American",2,Spring 2024,Central Boston,-71.06135,42.34943
Honeylocust,15,--,Back Bay/Beacon Hill,-71.06582,42.35717
Honeylocust,5,--,Charlestown,-71.071,42.38318
Honeylocust,9,--,Central Boston,-71.05325,42.35946
"Oak, Pin",2,Spring 2025,Charlestown,-71.07071,42.38304
"Coffeetree, Kentucky",2,Fall 2021,Back Bay/Beacon Hill,-71.06503,42.35747
Honeylocust,14,--,Charlestown,-71.05328,42.37694
"Elm, Chinese",2,Spring 2024,Back Bay/Beacon Hill,-71.06662,42.35688
"Oak, Pin",2,Fall 2022,Back Bay/Beacon Hill,-71.07986,42.35337
Honeylocust,7,--,Central Boston,-71.05318,42.35948
"Ash, Green",10,--,Charlestown,-71.07056,42.38116
"Elm, Accolade",11,--,Back Bay/Beacon Hill,-71.06743,42.35752
"Linden, Silver",2,--,South Boston,-71.03129,42.33277
"Pagoda Tree, Japanese",4,--,Back Bay/Beacon Hill,-71.07442,42.35383
"Linden, Littleleaf",2,--,Back Bay/Beacon Hill,-71.06787,42.35737
"Pagoda Tree, Japanese",7,--,Back Bay/Beacon Hill,-71.0742,42.35338
"Ash, Green",9,--,Back Bay/Beacon Hill,-71.06553,42.35712
Scheduled Planting Site - Fall 2025,0,--,Back Bay/Beacon Hill,-71.07023,42.35672
Honeylocust,6,--,South Boston,-71.05016,42.33056
Honeylocust,6,--,Central Boston,-71.05953,42.35171
"Elm, Chinese",2,Spring 2024,Back Bay/Beacon Hill,-71.06672,42.35686
"Linden, Littleleaf",24,--,South Boston,-71.03593,42.32993
"Pear, Callery",7,--,Central Boston,-71.06387,42.34874
"Pear, Callery",4,--,Back Bay/Beacon Hill,-71.068,42.35659
Honeylocust,4,--,South Boston,-71.05036,42.33037
"Oak, Swamp White",2,Spring 2025,Central Boston,-71.06187,42.35
"Maple, Norway",12,--,Roslindale,-71.1139,42.28001
"Basswood, American",21,--,South Boston,-71.03593,42.32971
"Zelkova, Japanese",4,--,Central Boston,-71.06326,42.35054
Honeylocust,17,--,Back Bay/Beacon Hill,-71.07069,42.35994
"Cherry, Weeping",1,--,South Boston,-71.03594,42.33037
"Honeylocust, Thornless",2,Spring 2023,Central Boston,-71.06185,42.35004
Honeylocust,4,--,Back Bay/Beacon Hill,-71.06995,42.35732
Honeylocust,7,--,South Boston,-71.05022,42.33067
"Elm, prospector",2,--,Central Boston,-71.06178,42.3502
"Zelkova, Japanese",10,--,Back Bay/Beacon Hill,-71.07037,42.35809
Honeylocust,4,--,South Boston,-71.05026,42.33047
Honeylocust,5,--,Central Boston,-71.06415,42.34884
"Pear, Callery",14,--,Back Bay/Beacon Hill,-71.06989,42.35688
Ginkgo,2,Spring 2022,South Boston,-71.0313,42.33353
"Oak, Pin",15,--,Charlestown,-71.05202,42.37585
Honeylocust,2,--,South Boston,-71.05221,42.33192
Honeylocust,3,--,Back Bay/Beacon Hill,-71.06725,42.35934
"Maple, Norway",10,--,Roslindale,-71.12516,42.27536
"Zelkova, Japanese",8,--,Back Bay/Beacon Hill,-71.07066,42.3592
Honeylocust,5,--,Back Bay/Beacon Hill,-71.06979,42.35668
"Oak, Willow",4,--,Back Bay/Beacon Hill,-71.06973,42.35657
"Linden, Littleleaf",1,--,Back Bay/Beacon Hill,-71.06893,42.35638
"Linden, Littleleaf",23,--,Back Bay/Beacon Hill,-71.06822,42.35745
"Linden, Littleleaf",5,--,Allston-Brighton,-71.15274,42.33878
"Zelkova, Japanese",2,--,Back Bay/Beacon Hill,-71.06938,42.35706
"Elm, Accolade",5,--,Back Bay/Beacon Hill,-71.06855,42.35647
"Hackberry, Northern",4,--,Back Bay/Beacon Hill,-71.06731,42.35673
"Linden, Littleleaf",15,--,Back Bay/Beacon Hill,-71.0676,42.35747
"Linden, Littleleaf",4,--,Back Bay/Beacon Hill,-71.06782,42.35725
Scheduled Planting Site - Fall 2025,0,--,Back Bay/Beacon Hill,-71.07029,42.35683
Honeylocust,10,--,South Boston,-71.03605,42.33037
"Elm, English",34,--,Back Bay/Beacon Hill,-71.07175,42.35423
Honeylocust,2,--,South Boston,-71.0515,42.33148
Honeylocust,2,--,South Boston,-71.05174,42.33162
Honeylocust,13,--,Central Boston,-71.06245,42.34937
"Zelkova, Japanese",3,--,South Boston,-71.05207,42.33156
Honeylocust,8,--,Back Bay/Beacon Hill,-71.06924,42.35632
Honeylocust,12,--,Central Boston,-71.06237,42.34837
"Maple, Norway 'Crimson King'",11,--,South Boston,-71.03598,42.33119
"Oak, Pin",2,Spring 2025,Back Bay/Beacon Hill,-71.07061,42.35862
"Maple, Red",5,--,East Boston,-71.02957,42.366
"Cherry, Yoshino Flowering",4,--,Dorchester,-71.07138,42.28085
"Maple, Red",15,--,Central Boston,-71.06056,42.34967
"Linden, Littleleaf",5,--,Back Bay/Beacon Hill,-71.06355,42.35971
"Oak, English",4,--,Back Bay/Beacon Hill,-71.07053,42.35765
"Zelkova, Japanese",9,--,Back Bay/Beacon Hill,-71.07983,42.35354
Honeylocust,4,--,Back Bay/Beacon Hill,-71.07069,42.36003
"Maple, Red",16,--,Central Boston,-71.06053,42.34979
"Pear, Callery",12,--,Back Bay/Beacon Hill,-71.0677,42.35693
"Elm, American",4,--,Fenway/Longwood,-71.0913,42.33956
"Maple, Red",13,--,Back Bay/Beacon Hill,-71.08011,42.35347
"Sweetgum, Common",6,--,Allston-Brighton,-71.14397,42.35479
Sweetgum 'Fastigiate',2,Spring 2024,South Boston,-71.05181,42.33167
"Pear, Callery",5,--,Back Bay/Beacon Hill,-71.07371,42.35416
"Maple, Norway",24,--,Back Bay/Beacon Hill,-71.07345,42.35424
Serviceberry,1,--,Central Boston,-71.05841,42.35206
"Pagoda Tree, Japanese",7,--,Back Bay/Beacon Hill,-71.07427,42.35389
"Maple, Norway",19,--,Allston-Brighton,-71.12955,42.35964
Ginkgo,12,--,Central Boston,-71.05872,42.35184
"Maple, Norway",13,--,South Boston,-71.03597,42.33094
Honeylocust,1,--,Central Boston,-71.0574,42.3504
Honeylocust,6,--,South Boston,-71.051,42.33116
Ginkgo,2,--,Central Boston,-71.05708,42.35053
"Linden, Littleleaf",21,--,South Boston,-71.03605,42.33028
Ginkgo,2,--,Central Boston,-71.05718,42.35055
Honeylocust,7,--,South Boston,-71.05082,42.33105
Honeylocust,1,--,Central Boston,-71.05728,42.35195
"Elm, Accolade",10,--,South Boston,-71.05147,42.33133
"Zelkova, Japanese",5,--,Central Boston,-71.05645,42.35192
"Elm, Accolade",10,--,South Boston,-71.05164,42.33118
"Elm, American",13,--,Central Boston,-71.05849,42.35203
"Ash, Green",11,--,Back Bay/Beacon Hill,-71.08,42.35351
Honeylocust,10,--,Central Boston,-71.06389,42.35397
Ginkgo,4,--,Back Bay/Beacon Hill,-71.07658,42.35328
"Cherry, Yoshino",5,--,Central Boston,-71.06398,42.35376
Horsechestnut,11,--,Back Bay/Beacon Hill,-71.07591,42.35461
"Maple, Norway",21,--,Allston-Brighton,-71.12943,42.3597
"Zelkova, Japanese",2,--,Back Bay/Beacon Hill,-71.06988,42.35718
Honeylocust,4,--,Back Bay/Beacon Hill,-71.07072,42.36019
Honeylocust,8,--,Back Bay/Beacon Hill,-71.06919,42.35633
Honeylocust,11,--,Back Bay/Beacon Hill,-71.07073,42.3603
"Maple, Red",5,--,Back Bay/Beacon Hill,-71.07066,42.3591
"Oak, English",2,--,Back Bay/Beacon Hill,-71.06705,42.35926
Ginkgo,2,--,Central Boston,-71.05941,42.3531
Empty Pit/Planting Site,0,--,Central Boston,-71.05954,42.35278
Honeylocust,5,--,Back Bay/Beacon Hill,-71.0677,42.3588
"Linden, Littleleaf",27,--,Back Bay/Beacon Hill,-71.07806,42.35401
"Oak, Willow",2,Fall 2022,Back Bay/Beacon Hill,-71.06358,42.35993
"Linden, Littleleaf",17,--,South Boston,-71.03604,42.33021
Honeylocust,3,--,Central Boston,-71.06313,42.35224
Ginkgo,2,--,Central Boston,-71.05802,42.35266
Honeylocust,9,--,South Boston,-71.03603,42.32982
"Maple, Norway",11,--,Back Bay/Beacon Hill,-71.07551,42.35368
"Elm, Accolade",2,Fall 2022,Back Bay/Beacon Hill,-71.06356,42.35985
Honeylocust,6,--,South Boston,-71.0512,42.33129
Honeylocust,19,--,Back Bay/Beacon Hill,-71.07446,42.35392
Ginkgo,2,--,Central Boston,-71.05917,42.35329
"Maple, Red",3,--,South Boston,-71.0508,42.33075
"Oak, Willow",2,Spring 2025,Back Bay/Beacon Hill,-71.07533,42.35372
Apple/Crabapple,2,--,Back Bay/Beacon Hill,-71.06728,42.35881
"Maple, Red",3,--,South Boston,-71.05084,42.33088
Ginkgo,6,--,South Boston,-71.02709,42.33752
"Pear, Callery",4,--,South Boston,-71.04888,42.3505
Elm,2,Fall 2024,South Boston,-71.03132,42.33445
"Elm, Hybrid",2,Fall 2022,South Boston,-71.05196,42.3474
"Elm, Chinese",2,Spring 2024,South Boston,-71.04943,42.35085
Honeylocust,8,--,South Boston,-71.03129,42.3327
"Ash, Green",13,--,South Boston,-71.03127,42.33223
"Sweetgum, Common",2,--,South Boston,-71.05146,42.34705
"Maple, Red",5,--,South Boston,-71.05058,42.35045
"Elm, Chinese",8,--,Central Boston,-71.05943,42.35163
Honeylocust,13,--,South Boston,-71.03133,42.33387
"Pear, Callery",6,--,Allston-Brighton,-71.15438,42.34197
"Pear, Callery",12,--,Back Bay/Beacon Hill,-71.06755,42.35881
"Elm, Accolade",5,--,Central Boston,-71.05904,42.35595
Ginkgo,16,--,Dorchester,-71.06941,42.28532
"Maple, Norway",23,--,Jamaica Plain,-71.11096,42.32426
Honeylocust,13,--,Back Bay/Beacon Hill,-71.0707,42.35973
Honeylocust,17,--,Back Bay/Beacon Hill,-71.07063,42.35896
"Linden, Littleleaf",2,--,Back Bay/Beacon Hill,-71.06966,42.35712
"Oak, White",2,Spring 2022,Back Bay/Beacon Hill,-71.06513,42.35863
"Linden, Littleleaf",17,--,Back Bay/Beacon Hill,-71.06837,42.35741
"Oak, Swamp White",2,--,Back Bay/Beacon Hill,-71.06595,42.35752
Honeylocust,16,--,Back Bay/Beacon Hill,-71.0651,42.35904
Sweetgum 'Happidaze',2,Spring 2024,Back Bay/Beacon Hill,-71.06513,42.35819
Goldenrain Tree,2,--,Back Bay/Beacon Hill,-71.06927,42.35735
"Linden, Littleleaf",13,--,Back Bay/Beacon Hill,-71.06802,42.35748
"Pear, Callery",7,--,Back Bay/Beacon Hill,-71.06812,42.35747
Ginkgo,4,--,Back Bay/Beacon Hill,-71.0765,42.3531
"Linden, Littleleaf",17,--,Back Bay/Beacon Hill,-71.06859,42.35735
Honeylocust,2,--,Dorchester,-71.07822,42.28958
Honeylocust,19,--,Back Bay/Beacon Hill,-71.07059,42.35849
Ginkgo,2,--,Central Boston,-71.05855,42.35253
"Maple, Red",5,--,Back Bay/Beacon Hill,-71.06446,42.36082
Ginkgo,6,--,Back Bay/Beacon Hill,-71.06364,42.36016
Serviceberry,2,--,Dorchester,-71.07012,42.28393
"Planetree, London",5,--,Central Boston,-71.05158,42.3573
Honeylocust,21,--,Back Bay/Beacon Hill,-71.07492,42.35384
"Pear, Callery",14,--,Back Bay/Beacon Hill,-71.06445,42.36077
"Honeylocust, Thornless",2,Spring 2024,South Boston,-71.04918,42.35068
"Maple, Red",6,--,South Boston,-71.05122,42.33038
Honeylocust,3,--,South Boston,-71.05116,42.33126
"Maple, Red",3,--,South Boston,-71.05096,42.33077
"Maple, Norway",20,--,Allston-Brighton,-71.12991,42.35957
"Ash, Green",17,--,East Boston,-71.01907,42.38522
"Maple, Norway",19,--,Allston-Brighton,-71.12956,42.35974
Honeylocust,6,--,South Boston,-71.05053,42.33087
"Maple, Red",3,--,South Boston,-71.05071,42.33083
Honeylocust,6,--,South Boston,-71.05032,42.33075
"Elm, American",41,--,South Boston,-71.03573,42.32957
"Ash, Green",18,--,East Boston,-71.01897,42.38521
"Maple, Norway",14,--,South Boston,-71.03594,42.33022
"Maple, Red",6,--,South Boston,-71.03438,42.33062
"Maple, Red",3,--,South Boston,-71.05089,42.33068
"Zelkova, Japanese",2,Spring 2022,South Boston,-71.03468,42.33072
"Maple, Red",4,--,South Boston,-71.05131,42.3303
"Zelkova, Japanese",5,--,Allston-Brighton,-71.12715,42.35834
"Maple, Red",10,--,South Boston,-71.0342,42.33063
Ginkgo,3,--,South Boston,-71.0352,42.33205
"Pagoda Tree, Japanese",6,--,Back Bay/Beacon Hill,-71.07426,42.35349
Vacant Unacceptable/Retired,0,--,South Boston,-71.04727,42.3305
Ginkgo,4,--,Back Bay/Beacon Hill,-71.07645,42.35297
"Oak, Swamp White",2,Spring 2024,Back Bay/Beacon Hill,-71.07056,42.35747
"Linden, Littleleaf",4,--,Central Boston,-71.05326,42.35152
Honeylocust,8,--,Central Boston,-71.05338,42.35605
Honeylocust,16,--,Back Bay/Beacon Hill,-71.07672,42.35438
Scheduled Planting Site - Fall 2025,0,--,Back Bay/Beacon Hill,-71.06968,42.35684
"Zelkova, Japanese Green Vase",2,Spring 2022,South Boston,-71.035,42.33072
Honeylocust,14,--,Back Bay/Beacon Hill,-71.07483,42.35386
Honeylocust,3,--,Back Bay/Beacon Hill,-71.06353,42.35965
"Elm, Accolade",9,--,South Boston,-71.05064,42.33022
"Oak, Willow",3,--,Back Bay/Beacon Hill,-71.07686,42.35344
"Pear, Callery",5,--,Back Bay/Beacon Hill,-71.06944,42.35641
"Maple, Red",15,--,South Boston,-71.0374,42.3321
Honeylocust,3,--,Central Boston,-71.06297,42.35225
"Planetree, London",6,--,Central Boston,-71.05161,42.35737
"Maple, Norway",10,--,South Boston,-71.03762,42.33139
Honeylocust,4,--,Back Bay/Beacon Hill,-71.07851,42.35221
"Oak, Willow",3,--,Allston-Brighton,-71.12908,42.36
"Elm, American",2,--,Back Bay/Beacon Hill,-71.06717,42.35934
"Pear, Callery",6,--,Back Bay/Beacon Hill,-71.06706,42.35934
"Pear, Callery",5,--,Central Boston,-71.06407,42.3533
"Ash, Green",7,--,Back Bay/Beacon Hill,-71.06446,42.3609
"Maple, Red",4,--,South Boston,-71.05113,42.33046
Honeylocust,11,--,Back Bay/Beacon Hill,-71.07874,42.3525
"Oak, Swamp White",2,--,Back Bay/Beacon Hill,-71.06833,42.35881
"Maple, Norway",9,--,South Boston,-71.03444,42.33073
"Pear, Callery",6,--,Central Boston,-71.06281,42.3533
"Pear, Callery",6,--,Back Bay/Beacon Hill,-71.06806,42.35879
"Elm, Accolade",10,--,South Boston,-71.05138,42.32989
Honeylocust,2,--,Back Bay/Beacon Hill,-71.07838,42.35241
"Elm, prospector",3,--,Back Bay/Beacon Hill,-71.06725,42.35927
"Elm, Accolade",5,--,South Boston,-71.05077,42.33017
"Linden, Littleleaf",5,--,Central Boston,-71.05638,42.3511
"Pear, Callery",4,--,Back Bay/Beacon Hill,-71.06732,42.35889
"Maple, Norway",6,--,South Boston,-71.03751,42.3315
"Sweetgum, Common",2,Spring 2024,Back Bay/Beacon Hill,-71.07493,42.35487
"Planetree, London",6,--,Central Boston,-71.05188,42.35799
"Elm, Accolade",5,--,South Boston,-71.05103,42.33006
Honeylocust,12,--,Back Bay/Beacon Hill,-71.07851,42.35264
"Oak, Swamp White",3,--,Back Bay/Beacon Hill,-71.06945,42.35772
"Elm, Accolade",5,--,South Boston,-71.0509,42.33012
"Pear, Callery",6,--,Central Boston,-71.06397,42.35339
"Pear, Callery",2,--,Back Bay/Beacon Hill,-71.07006,42.35613
"Oak, English",15,--,South Boston,-71.03133,42.3338
Apple/Crabapple,3,--,Central Boston,-71.05622,42.35141
"Maple, Norway",17,--,Back Bay/Beacon Hill,-71.06501,42.359
"Elm, American",28,--,South Boston,-71.0314,42.33564
"Zelkova, Japanese",6,--,South Boston,-71.05252,42.33132
Honeylocust,4,--,Allston-Brighton,-71.12803,42.36342
"Elm, Chinese",3,--,Allston-Brighton,-71.16931,42.34959
"Oak, Pin",2,--,Allston-Brighton,-71.15611,42.34903
Apple/Crabapple,10,--,Allston-Brighton,-71.1732,42.35117
"Maple, Norway",15,--,Allston-Brighton,-71.16869,42.35002
"Maple, Norway",13,--,Allston-Brighton,-71.17125,42.3497
"Maple, Norway",20,--,Allston-Brighton,-71.17081,42.34965
"Maple, Norway",20,--,Allston-Brighton,-71.12756,42.3582
Honeylocust,3,--,South Boston,-71.03447,42.33155
"Maple, Red",2,--,South Boston,-71.04897,42.33286
"Linden,Littleleaf 'Greenspire'",2,Spring 2023,South Boston,-71.03728,42.33296
"Pear, Callery",18,--,South Boston,-71.04906,42.33203
"Elm, Chinese",2,Spring 2024,Central Boston,-71.05635,42.35118
"Pear, Callery",18,--,South Boston,-71.04907,42.33178
Elm,5,--,Allston-Brighton,-71.15622,42.33925
"Zelkova, Japanese Green Vase",2,Spring 2025,Central Boston,-71.05678,42.35031
"Ash, Green",15,--,South Boston,-71.05026,42.33289
"Oak, Swamp White",4,--,Back Bay/Beacon Hill,-71.06754,42.35926
Apple/Crabapple,3,--,Central Boston,-71.05619,42.35145
"Coffeetree, Kentucky",4,--,South Boston,-71.03567,42.33071
Honeylocust,3,--,Back Bay/Beacon Hill,-71.06492,42.36106
Honeylocust,17,--,Back Bay/Beacon Hill,-71.07855,42.35273
Honeylocust,11,--,South Boston,-71.03483,42.33144
Honeylocust,5,--,Central Boston,-71.05544,42.35673
"Oak, Pin",6,--,Dorchester,-71.08941,42.29045
"Maple, Norway",15,--,Allston-Brighton,-71.127,42.35841
"Linden, Littleleaf",28,--,South Boston,-71.03594,42.33047
"Maple, Norway",21,--,Allston-Brighton,-71.13199,42.35796
Scheduled Planting Site - Fall 2025,0,--,South Boston,-71.05134,42.33003
"Maple, Norway",13,--,South Boston,-71.03751,42.3314
"Ash, Green",15,--,East Boston,-71.03143,42.37841
"Linden, Silver",2,--,Allston-Brighton,-71.12497,42.36025
"Maple, Norway",16,--,South Boston,-71.03738,42.3316
"Oak, Swamp White",1,--,Dorchester,-71.04485,42.2867
"Maple, Norway 'Crimson King'",17,--,South Boston,-71.03484,42.33072
"Maple, Norway",9,--,Allston-Brighton,-71.13222,42.35786
"Ash, Green",18,--,East Boston,-71.00269,42.38549
"Maple, Norway",11,--,South Boston,-71.03775,42.3314
"Maple, Norway",22,--,South Boston,-71.03738,42.33197
"Pear, Callery",5,--,Central Boston,-71.06391,42.35337
Honeylocust,6,--,South Boston,-71.04847,42.3329
Katsura Tree,2,--,Back Bay/Beacon Hill,-71.06615,42.36119
Honeylocust,6,--,Central Boston,-71.05462,42.35615
Honeylocust,5,--,Central Boston,-71.0554,42.35669
Honeylocust,5,--,Central Boston,-71.05444,42.35625
Honeylocust,6,--,Central Boston,-71.05434,42.35631
Honeylocust,6,--,Central Boston,-71.05415,42.35642
"Elm, Chinese",2,Spring 2024,Back Bay/Beacon Hill,-71.06733,42.36106
"Planetree, London",12,--,Central Boston,-71.06492,42.36121
Honeylocust,5,--,Central Boston,-71.05641,42.35533
"Zelkova, Japanese",3,--,Central Boston,-71.05962,42.35273
"Planetree, London",7,--,Central Boston,-71.0515,42.35706
"Oak, Pin",2,Fall 2022,Back Bay/Beacon Hill,-71.06356,42.35979
Ginkgo,2,--,Central Boston,-71.05799,42.3529
"Planetree, London",10,--,Central Boston,-71.05197,42.35831
"Honeylocust, Thornless",2,Spring 2024,Central Boston,-71.05641,42.35103
"Coffeetree, Kentucky",2,Fall 2022,Back Bay/Beacon Hill,-71.06438,42.35995
Honeylocust,26,--,South Boston,-71.03779,42.33232
Ginkgo,2,--,Allston-Brighton,-71.15302,42.34983
Elm,5,--,South Boston,-71.03806,42.33139
"Maple, Red",6,--,South Boston,-71.03458,42.33144
"Maple, Norway",19,--,South Boston,-71.03742,42.33274
Honeylocust,3,--,Back Bay/Beacon Hill,-71.07857,42.35236
"Maple, Norway",17,--,South Boston,-71.03728,42.33286
"Planetree, London",8,--,Central Boston,-71.05201,42.35847
"Pear, Callery",7,--,Central Boston,-71.06392,42.35327
"Planetree, London",13,--,South Boston,-71.04753,42.3324
