spp_com,dbh,date_plant,neighborhood,POINT_X,POINT_Y
Honeylocust,12,--,Charlestown,-71.07044,42.38296
"Sweetgum, Common",10,--,East Boston,-71.03309,42.37867
"Maple, Norway",18,--,East Boston,-71.0024,42.39189
"Oak, Pin",11,--,Charlestown,-71.06445,42.37999
"Maple, Norway",15,--,East Boston,-71.0032,42.39225
"Sweetgum, Common",3,--,Charlestown,-71.06961,42.38291
"Oak, Northern Red",21,--,East Boston,-71.01939,42.38378
"Crabapple, Sugartyme",2,Fall 2024,East Boston,-71.00293,42.39214
"Linden, Littleleaf",4,--,Jamaica Plain,-71.11021,42.32162
"Ash, Green",12,--,East Boston,-71.03302,42.37992
Honeylocust,7,--,Central Boston,-71.05193,42.36178
"Sycamore, American",11,--,Roxbury,-71.0818,42.32101
"Maple, Red",3,--,Charlestown,-71.0621,42.37328
"Maple, Norway 'Crimson King'",16,--,Hyde Park,-71.11395,42.26174
"Planetree, London",20,--,East Boston,-71.03919,42.38122
"Linden, Littleleaf",18,--,East Boston,-71.03986,42.376
"Linden, Littleleaf",16,--,East Boston,-71.0017,42.3842
"Basswood, American",22,--,East Boston,-71.02654,42.37969
"Linden, Littleleaf",20,--,East Boston,-71.02157,42.38155
"Crabapple, Sugartyme",2,Fall 2024,East Boston,-71.00783,42.38839
Honeylocust,14,--,East Boston,-71.01815,42.38334
"Cherry, Yoshino Flowering",11,--,Mission Hill,-71.09901,42.33414
"Cherry, Japanese Flowering",9,--,East Boston,-71.00092,42.38554
Crabapple spp.,2,Spring 2025,East Boston,-71.00275,42.3862
"Zelkova, Japanese",6,--,East Boston,-71.03861,42.3802
"Planetree, London",8,--,Mission Hill,-71.0967,42.33304
Honeylocust,3,--,East Boston,-71.01412,42.38102
"Oak, Northern Red",3,--,East Boston,-71.0249,42.38033
"Linden, Littleleaf",21,--,East Boston,-71.01736,42.38312
"Linden, Littleleaf",15,--,East Boston,-71.00117,42.3855
"Pagoda Tree, Japanese",15,--,East Boston,-71.01402,42.38502
"Elm, American",10,--,East Boston,-71.02284,42.38085
"Linden, Littleleaf",20,--,East Boston,-71.00102,42.38545
"Linden, Littleleaf",33,--,East Boston,-71.00147,42.38562
Honeylocust,4,--,East Boston,-71.0192,42.38221
"Linden, Littleleaf",6,--,East Boston,-71.03883,42.38031
"Oak, Pin",2,--,East Boston,-71.03603,42.38016
"Oak, Hybrid English",2,Spring 2025,East Boston,-71.04025,42.36975
